Unnamed: 0,ID,Sentiment,Word_total,Score,Title,Date,Body,Term,Session,Meeting,Sitting,Agenda,Subcorpus,Speaker_role,Speaker_MP,Speaker_Minister,Speaker_party,Speaker_party_name,Party_status,Speaker_name,Speaker_gender,Speaker_birth,Topic_title,Question,Debate,YearMonth,Government,Bloc
103,ParlaMint-DK_20141024121535,0.0,3.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
104,ParlaMint-DK_20141024121537,4.043712605488591,80.0,0.050546407568607385,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,DF,Dansk Folkeparti,Opposition,"Dencker, Mikkel",M,1975,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Right
105,ParlaMint-DK_20141024121604,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
106,ParlaMint-DK_20141024121606,1.2853414591941257,99.0,0.012983247062566925,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,notMP,Minister,RV,Radikale Venstre,Coalition,"Lidegaard, Martin",M,1966,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
107,ParlaMint-DK_20141024121641,0.0,11.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
108,ParlaMint-DK_20141024121646,1.2324006533845995,148.0,0.008327031441787834,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,IA,Inuit Ataqatigiit,,"Olsen, Johan Lund",M,1958,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,
109,ParlaMint-DK_20141024121755,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
110,ParlaMint-DK_20141024121757,7.182053904973979,214.0,0.03356099955595317,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,notMP,Minister,RV,Radikale Venstre,Coalition,"Lidegaard, Martin",M,1966,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
111,ParlaMint-DK_20141024121911,0.0,9.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
112,ParlaMint-DK_20141024121918,6.054608584494233,159.0,0.03807929927354863,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,KF,Det Konservative Folkeparti,Opposition,"Barfoed, Lars",M,1957,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Right
